genome_id,genome_name,mlst,serovar,isolation_country,collection_year,host_name,collection_period,country_period,baps_cluster,source_strain
g1307.7709,Streptococcus suis D15-036753,MLST.ssuis.969,3,Canada,,Pig,,,BAPS1,D15-036753
g1307.7710,Streptococcus suis D15-037100,MLST.ssuis.108,23,Canada,,Pig,,,BAPS1,D15-037100
g1307.7711,Streptococcus suis D15-036755,MLST.ssuis.28,,Canada,,Pig,,,BAPS26,D15-036755
g1307.7712,Streptococcus suis D15-036308,MLST.ssuis.108,23,Canada,,Pig,,,BAPS1,D15-036308
g1307.7713,Streptococcus suis D15-037104,MLST.ssuis.28,1/2,Canada,,Pig,,,BAPS26,D15-037104
g1307.7714,Streptococcus suis CF2D3-4A,MLST.ssuis.1175,5,Canada,2016,Pig,late,Canada late,BAPS1,CF2D3-4A
g1307.7715,Streptococcus suis CF2D3-4B,,,Canada,2016,Pig,late,Canada late,BAPS9,CF2D3-4B
g1307.7716,Streptococcus suis CF2D3-2E,MLST.ssuis.1175,5,Canada,2016,Pig,late,Canada late,BAPS1,CF2D3-2E
g1307.7717,Streptococcus suis D15-036307,MLST.ssuis.28,1/2,Canada,,Pig,,,BAPS25,D15-036307
g1307.7718,Streptococcus suis CG3S3-2B,MLST.ssuis.972,29,Canada,2016,Pig,late,Canada late,BAPS21,CG3S3-2B
g1307.7719,Streptococcus suis CF2D3-2D,,30,Canada,2016,Pig,late,Canada late,BAPS11,CF2D3-2D
g1307.7720,Streptococcus suis CF2D3-1C,,28,Canada,2016,Pig,late,Canada late,BAPS12,CF2D3-1C
g1307.7721,Streptococcus suis CF2D3-1B,,,Canada,2016,Pig,late,Canada late,BAPS33,CF2D3-1B
g1307.7722,Streptococcus suis CF2D3-2C,,28,Canada,2016,Pig,late,Canada late,BAPS12,CF2D3-2C
g1307.7723,Streptococcus suis BH3D7-4E,,,Canada,2016,Pig,late,Canada late,BAPS34,BH3D7-4E
g1307.7724,Streptococcus suis CF2D3-1A,,,Canada,2016,Pig,late,Canada late,BAPS33,CF2D3-1A
g1307.7725,Streptococcus suis BE4B3-4B,,16,Canada,2016,Pig,late,Canada late,BAPS8,BE4B3-4B
g1307.7726,Streptococcus suis BE4B3-2B,,,Canada,2016,Pig,late,Canada late,BAPS33,BE4B3-2B
g1307.7727,Streptococcus suis 94-1713,,11,Canada,1994,Pig,early,Canada early,BAPS8,94-1713
g1307.7728,Streptococcus suis BE4B3-2A,MLST.ssuis.108,23,Canada,2016,Pig,late,Canada late,BAPS1,BE4B3-2A
g1307.7729,Streptococcus suis BE4B3-4A,,16,Canada,2016,Pig,late,Canada late,BAPS8,BE4B3-4A
g1307.7730,Streptococcus suis 92-2402-1119,MLST.ssuis.1175,,Canada,1992,Pig,early,Canada early,BAPS1,92-2402-1119
g1307.7731,Streptococcus suis 99-C561-8614-2,MLST.ssuis.483,23,Canada,1999,Pig,early,Canada early,BAPS1,99-C561-8614-2
g1307.7732,Streptococcus suis 93-1320,MLST.ssuis.977,5,Canada,1993,Pig,early,Canada early,BAPS1,93-1320
g1307.7733,Streptococcus suis 91-178-2215,,4 + 8,Canada,1991,Pig,early,Canada early,BAPS29,91-178-2215
g1307.7734,Streptococcus suis 92-1130,MLST.ssuis.13,1,Canada,1992,Pig,early,Canada early,BAPS10,92-1130
g1307.7735,Streptococcus suis 91-178-2469,MLST.ssuis.117,3,Canada,1991,Pig,early,Canada early,BAPS25,91-178-2469
g1307.7736,Streptococcus suis 91-173B-752,MLST.ssuis.13,1,Canada,1991,Pig,early,Canada early,BAPS10,91-173B-752
g1307.7737,Streptococcus suis 90-546,MLST.ssuis.1175,,Canada,1990,Pig,early,Canada early,BAPS1,90-546
g1307.7738,Streptococcus suis 91-175B-2156,MLST.ssuis.28,1/2,Canada,1991,Pig,early,Canada early,BAPS25,91-175B-2156
g1307.7739,Streptococcus suis 90-4517-4,MLST.Streptococcus_suis.318,11,Canada,1990,Pig,early,Canada early,BAPS10,90-4517-4
g1307.7740,Streptococcus suis 91-1174,MLST.ssuis.13,1,Canada,1991,Pig,early,Canada early,BAPS10,91-1174
g1307.7741,Streptococcus suis 90-4400,,,Canada,1990,Pig,early,Canada early,BAPS8,90-4400
g1307.7742,Streptococcus suis 89-5189,MLST.ssuis.225,,Canada,1989,Pig,early,Canada early,BAPS10,89-5189
g1307.7743,Streptococcus suis 90-3615-2,,11,Canada,1990,Pig,early,Canada early,BAPS10,90-3615-2
g1307.7744,Streptococcus suis 89-5046,MLST.ssuis.25,2,Canada,1989,Pig,early,Canada early,BAPS27,89-5046
g1307.7745,Streptococcus suis 89-4004,MLST.ssuis.28,1/2,Canada,1989,Pig,early,Canada early,BAPS26,89-4004
g1307.7746,Streptococcus suis 89-1591,MLST.ssuis.25,2,Canada,1989,Pig,early,Canada early,BAPS27,89-1591
g1307.7747,Streptococcus suis 89-4223,MLST.ssuis.28,2,Canada,1989,Pig,early,Canada early,BAPS26,89-4223
g1307.7748,Streptococcus suis 89-4294,,19,Canada,1989,Pig,early,Canada early,BAPS2,89-4294
g1307.7749,Streptococcus suis 89-1824,MLST.ssuis.76,19,Canada,1989,Pig,early,Canada early,BAPS2,89-1824
g1307.7750,Streptococcus suis 88-5454A,MLST.ssuis.117,3,Canada,1988,Pig,early,Canada early,BAPS25,88-5454A
g1307.7751,Streptococcus suis 87-4647,MLST.ssuis.225,,Canada,1987,Pig,early,Canada early,BAPS10,87-4647
g1307.7752,Streptococcus suis 89-289,MLST.ssuis.731,9,Canada,1989,Pig,early,Canada early,BAPS9,89-289
g1307.7753,Streptococcus suis 88-4127,,,Canada,1988,Pig,early,Canada early,BAPS30,88-4127
g1307.7754,Streptococcus suis 88-2775,,13,Canada,1988,Pig,early,Canada early,BAPS21,88-2775
g1307.7755,Streptococcus suis 1650131,MLST.ssuis.28,2,Canada,2014,Pig,late,Canada late,BAPS25,1650131
g1307.7756,Streptococcus suis 1628469,,,Canada,2014,Pig,late,Canada late,BAPS18,1628469
g1307.7757,Streptococcus suis 1636820,MLST.ssuis.25,2,Canada,2014,Pig,late,Canada late,BAPS27,1636820
g1307.7758,Streptococcus suis 1621705,,,Canada,2014,Pig,late,Canada late,BAPS21,1621705
g1307.7759,Streptococcus suis 1619952,MLST.ssuis.1,1,Canada,2014,Pig,late,Canada late,BAPS4,1619952
g1307.7760,Streptococcus suis 1611505,MLST.ssuis.1,14,Canada,2014,Pig,late,Canada late,BAPS4,1611505
g1307.7761,Streptococcus suis 1615892,,9,Canada,2014,Pig,late,Canada late,BAPS14,1615892
g1307.7762,Streptococcus suis 93-2042-4514,MLST.ssuis.977,,Canada,1993,Pig,early,Canada early,BAPS1,93-2042-4514
g1307.7763,Streptococcus suis SS38,MLST.ssuis.1,2,Vietnam,2006,Homo sapiens,early,Vietnam early,BAPS4,SS38
g1307.7764,Streptococcus suis 1442765,,16,Canada,2012,Pig,early,Canada early,BAPS8,1442765
g1307.7765,Streptococcus suis 1193601,,,Canada,2009,Pig,early,Canada early,BAPS8,1193601
g1307.7766,Streptococcus suis 1602951,MLST.ssuis.25,2,Canada,2014,Pig,late,Canada late,BAPS27,1602951
g1307.7767,Streptococcus suis 1602949,MLST.ssuis.13,1,Canada,2014,Pig,late,Canada late,BAPS10,1602949
g1307.7768,Streptococcus suis 1602952,,,Canada,2014,Pig,late,Canada late,BAPS9,1602952
g1307.7769,Streptococcus suis 1602956,MLST.ssuis.94,4,Canada,2014,Pig,late,Canada late,BAPS1,1602956
g1307.7770,Streptococcus suis 1506978,MLST.ssuis.32,,Canada,2013,Pig,late,Canada late,BAPS10,1506978
g1307.7771,Streptococcus suis 1506989,,16,Canada,2013,Pig,late,Canada late,BAPS8,1506989
g1307.7772,Streptococcus suis 1666727,MLST.ssuis.1,14,Canada,2014,Pig,late,Canada late,BAPS4,1666727
g1307.7773,Streptococcus suis 1667796,MLST.ssuis.25,2,Canada,2014,Pig,late,Canada late,BAPS27,1667796
g1307.7774,Streptococcus suis 1622145,,28,Canada,2014,Pig,late,Canada late,BAPS21,1622145
g1307.7775,Streptococcus suis 1602954,MLST.ssuis.87,8,Canada,2014,Pig,late,Canada late,BAPS5,1602954
g1307.7776,Streptococcus suis 1505307,,16,Canada,2013,Pig,late,Canada late,BAPS13,1505307
g1307.7777,Streptococcus suis 1463646,MLST.ssuis.1,14,Canada,2013,Pig,late,Canada late,BAPS4,1463646
g1307.7778,Streptococcus suis 1495917,,,Canada,2013,Pig,late,Canada late,BAPS16,1495917
g1307.7779,Streptococcus suis 1462648,MLST.ssuis.1,14,Canada,2013,Pig,late,Canada late,BAPS4,1462648
g1307.7780,Streptococcus suis 1456898,,,Canada,2013,Pig,late,Canada late,BAPS21,1456898
g1307.7781,Streptococcus suis 1171239,,,Canada,2009,Pig,early,Canada early,BAPS21,1171239
g1307.7782,Streptococcus suis 1191316,,28,Canada,2009,Pig,early,Canada early,BAPS21,1191316
g1307.7783,Streptococcus suis 1666725,MLST.ssuis.25,2,Canada,2014,Pig,late,Canada late,BAPS27,1666725
g1307.7784,Streptococcus suis 1665814,MLST.ssuis.1175,4,Canada,2014,Pig,late,Canada late,BAPS1,1665814
g1307.7785,Streptococcus suis 1661949,MLST.ssuis.28,1/2,Canada,2014,Pig,late,Canada late,BAPS25,1661949
g1307.7786,Streptococcus suis 1665815,,,Canada,2014,Pig,late,Canada late,BAPS19,1665815
g1307.7787,Streptococcus suis 1656890,MLST.ssuis.108,3,Canada,2014,Pig,late,Canada late,BAPS1,1656890
g1307.7788,Streptococcus suis 1659834,MLST.ssuis.1,1,Canada,2014,Pig,late,Canada late,BAPS4,1659834
g1307.7789,Streptococcus suis 1652716,MLST.ssuis.977,4,Canada,2014,Pig,late,Canada late,BAPS1,1652716
g1307.7790,Streptococcus suis 1654537,MLST.ssuis.28,1/2,Canada,2014,Pig,late,Canada late,BAPS26,1654537
g1307.7791,Streptococcus suis 1651929,MLST.ssuis.28,2,Canada,2014,Pig,late,Canada late,BAPS26,1651929
g1307.7792,Streptococcus suis 1650132,MLST.ssuis.28,1/2,Canada,2014,Pig,late,Canada late,BAPS26,1650132
g1307.7793,Streptococcus suis 1637946,MLST.ssuis.94,5,Canada,2014,Pig,late,Canada late,BAPS1,1637946
g1307.7794,Streptococcus suis 1644048,MLST.ssuis.1,1,Canada,2014,Pig,late,Canada late,BAPS4,1644048
g1307.7795,Streptococcus suis 1615461,,9,Canada,2014,Pig,late,Canada late,BAPS1,1615461
g1307.7796,Streptococcus suis 1615460,MLST.ssuis.225,,Canada,2014,Pig,late,Canada late,BAPS10,1615460
g1307.7797,Streptococcus suis 1614720,,16,Canada,2014,Pig,late,Canada late,BAPS8,1614720
g1307.7798,Streptococcus suis 1607743,MLST.ssuis.977,4,Canada,2014,Pig,late,Canada late,BAPS1,1607743
g1307.7799,Streptococcus suis 1607744,MLST.ssuis.89,5,Canada,2014,Pig,late,Canada late,BAPS5,1607744
g1307.7800,Streptococcus suis 1610743,MLST.ssuis.1187,3,Canada,2014,Pig,late,Canada late,BAPS1,1610743
g1307.7801,Streptococcus suis 1601399,MLST.ssuis.28,1/2,Canada,2014,Pig,late,Canada late,BAPS25,1601399
g1307.7802,Streptococcus suis 1606529,MLST.ssuis.28,1/2,Canada,2014,Pig,late,Canada late,BAPS26,1606529
g1307.7803,Streptococcus suis 1606517,MLST.ssuis.1187,3,Canada,2014,Pig,late,Canada late,BAPS1,1606517
g1307.7804,Streptococcus suis 1603813,MLST.ssuis.28,2,Canada,2014,Pig,late,Canada late,BAPS26,1603813
g1307.7805,Streptococcus suis 1601827,MLST.ssuis.94,,Canada,2014,Pig,late,Canada late,BAPS1,1601827
g1307.7806,Streptococcus suis 1596201,MLST.ssuis.1,1,Canada,2014,Pig,late,Canada late,BAPS4,1596201
g1307.7807,Streptococcus suis 1597776,MLST.ssuis.28,1/2,Canada,2014,Pig,late,Canada late,BAPS25,1597776
g1307.7808,Streptococcus suis 1600268,MLST.ssuis.94,,Canada,2014,Pig,late,Canada late,BAPS1,1600268
g1307.7809,Streptococcus suis 1597778,MLST.ssuis.28,1/2,Canada,2014,Pig,late,Canada late,BAPS26,1597778
g1307.7810,Streptococcus suis 1596217,MLST.ssuis.1,1,Canada,2014,Pig,late,Canada late,BAPS4,1596217
g1307.7811,Streptococcus suis 1588531,MLST.ssuis.1,1,Canada,2014,Pig,late,Canada late,BAPS4,1588531
g1307.7812,Streptococcus suis 1522228,MLST.ssuis.483,23,Canada,2013,Pig,late,Canada late,BAPS1,1522228
g1307.7813,Streptococcus suis 1596165,,14,Canada,2014,Pig,late,Canada late,BAPS26,1596165
g1307.7814,Streptococcus suis 1521251,MLST.ssuis.1175,,Canada,2013,Pig,late,Canada late,BAPS1,1521251
g1307.7815,Streptococcus suis 1514647,,28,Canada,2013,Pig,late,Canada late,BAPS21,1514647
g1307.7816,Streptococcus suis 1494500,,,Canada,2013,Pig,late,Canada late,BAPS16,1494500
g1307.7817,Streptococcus suis 1508445,MLST.ssuis.108,23,Canada,2013,Pig,late,Canada late,BAPS1,1508445
g1307.7818,Streptococcus suis 1481965,,,Canada,2013,Pig,late,Canada late,BAPS22,1481965
g1307.7819,Streptococcus suis 1491188,MLST.ssuis.108,23,Canada,2013,Pig,late,Canada late,BAPS1,1491188
g1307.7820,Streptococcus suis 1481257,MLST.ssuis.1333,8,Canada,2013,Pig,late,Canada late,BAPS5,1481257
g1307.7821,Streptococcus suis 1493634,,16,Canada,2013,Pig,late,Canada late,BAPS5,1493634
g1307.7822,Streptococcus suis 1481256,MLST.ssuis.87,8,Canada,2013,Pig,late,Canada late,BAPS5,1481256
g1307.7823,Streptococcus suis 1475186,MLST.ssuis.27,3,Canada,2013,Pig,late,Canada late,BAPS24,1475186
g1307.7824,Streptococcus suis 1477528,MLST.ssuis.27,3,Canada,2013,Pig,late,Canada late,BAPS25,1477528
g1307.7825,Streptococcus suis 1466571,,,Canada,2013,Pig,late,Canada late,BAPS11,1466571
g1307.7826,Streptococcus suis 1478991,MLST.ssuis.87,8,Canada,2013,Pig,late,Canada late,BAPS5,1478991
g1307.7827,Streptococcus suis 1348170,,13,Canada,2011,Pig,early,Canada early,BAPS21,1348170
g1307.7828,Streptococcus suis 1464747,MLST.ssuis.87,8,Canada,2013,Pig,late,Canada late,BAPS5,1464747
g1307.7829,Streptococcus suis 1464749,MLST.ssuis.1,14,Canada,2013,Pig,late,Canada late,BAPS4,1464749
g1307.7830,Streptococcus suis 1465473,MLST.ssuis.1,14,Canada,2013,Pig,late,Canada late,BAPS4,1465473
g1307.7831,Streptococcus suis 1248867,,,Canada,2010,Pig,early,Canada early,BAPS21,1248867
g1307.7832,Streptococcus suis 1378494,,25,Canada,2012,Pig,early,Canada early,BAPS8,1378494
g1307.7833,Streptococcus suis 1270935,,28,Canada,2011,Pig,early,Canada early,BAPS21,1270935
g1307.7834,Streptococcus suis 1231255,MLST.ssuis.76,19,Canada,2010,Pig,early,Canada early,BAPS2,1231255
g1307.7835,Streptococcus suis 1269330,MLST.ssuis.1339,21,Canada,2011,Pig,early,Canada early,BAPS21,1269330
g1307.7836,Streptococcus suis 1231073,MLST.ssuis.1359,31,Canada,2010,Pig,early,Canada early,BAPS9,1231073
g1307.7837,Streptococcus suis 1197378,MLST.ssuis.1420,9,Canada,2009,Pig,early,Canada early,BAPS8,1197378
g1307.7838,Streptococcus suis 1209618,,,Canada,2010,Pig,early,Canada early,BAPS8,1209618
g1307.7839,Streptococcus suis 1152130,,21,Canada,2009,Pig,early,Canada early,BAPS21,1152130
g1307.7840,Streptococcus suis 1162351,,24,Canada,2009,Pig,early,Canada early,BAPS21,1162351
g1307.7841,Streptococcus suis 00-3638-4B,MLST.ssuis.977,5,Canada,2000,Pig,early,Canada early,BAPS1,00-3638-4B
g1307.7842,Streptococcus suis 1080671,,,Canada,2008,Pig,early,Canada early,BAPS18,1080671
g1307.7843,Streptococcus suis 1093404,,27,Canada,2008,Pig,early,Canada early,BAPS21,1093404
g1307.7844,Streptococcus suis 1197165,MLST.ssuis.788,,Canada,2009,Pig,early,Canada early,BAPS12,1197165
g1307.7845,Streptococcus suis 1145478,,,Canada,2009,Pig,early,Canada early,BAPS16,1145478
g1307.7846,Streptococcus suis 1129711,,29,Canada,2008,Pig,early,Canada early,BAPS11,1129711
g1307.7847,Streptococcus suis 1165977,,,Canada,2009,Pig,early,Canada early,BAPS18,1165977
g1307.7848,Streptococcus suis 1112943,,,Canada,2008,Pig,early,Canada early,BAPS21,1112943
g1307.7849,Streptococcus suis 1126699,MLST.ssuis.76,17,Canada,2008,Pig,early,Canada early,BAPS2,1126699
g1307.7850,Streptococcus suis 1160410,MLST.Streptococcus_suis.583,,Canada,2009,Pig,early,Canada early,BAPS11,1160410
g1307.7851,Streptococcus suis 1158584,,31,Canada,2009,Pig,early,Canada early,BAPS9,1158584
g1307.7852,Streptococcus suis 1230091,,,Canada,2010,Pig,early,Canada early,BAPS20,1230091
g1307.7853,Streptococcus suis BM264a,MLST.ssuis.1,2,Vietnam,2002,Homo sapiens,early,Vietnam early,BAPS4,BM264a
g1307.7854,Streptococcus suis 1148794,MLST.ssuis.1175,,Canada,2009,Pig,early,Canada early,BAPS1,1148794
g1307.7855,Streptococcus suis BM257a,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM257a
g1307.7856,Streptococcus suis BM272C,MLST.ssuis.1,2,Vietnam,2002,Homo sapiens,early,Vietnam early,BAPS4,BM272C
g1307.7857,Streptococcus suis BM329B,MLST.ssuis.1,2,Vietnam,2003,Homo sapiens,early,Vietnam early,BAPS4,BM329B
g1307.7858,Streptococcus suis 784_7A,,16,United Kingdom,2013,Pig,late,United Kingdom late,BAPS13,784_7A
g1307.7859,Streptococcus suis BM321C,MLST.ssuis.1,2,Vietnam,2002,Homo sapiens,early,Vietnam early,BAPS4,BM321C
g1307.7860,Streptococcus suis BM308a,MLST.ssuis.1,2,Vietnam,2002,Homo sapiens,early,Vietnam early,BAPS4,BM308a
g1307.7861,Streptococcus suis BM315C,MLST.ssuis.1,2,Vietnam,2002,Homo sapiens,early,Vietnam early,BAPS4,BM315C
g1307.7862,Streptococcus suis BM303a,MLST.ssuis.1,2,Vietnam,2002,Homo sapiens,early,Vietnam early,BAPS4,BM303a
g1307.7863,Streptococcus suis 01ZN-ST222,MLST.ssuis.1,2,Vietnam,2010,Pig,early,Vietnam early,BAPS4,01ZN-ST222
g1307.7864,Streptococcus suis BM190a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM190a
g1307.7865,Streptococcus suis BM278a,MLST.ssuis.1,2,Vietnam,2002,Homo sapiens,early,Vietnam early,BAPS4,BM278a
g1307.7866,Streptococcus suis 01ZN-TG187,MLST.ssuis.1,2,Vietnam,,Pig,,,BAPS4,01ZN-TG187
g1307.7867,Streptococcus suis BM253a,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM253a
g1307.7868,Streptococcus suis 01ZN-TG189,MLST.ssuis.1,2,Vietnam,2010,Pig,early,Vietnam early,BAPS4,01ZN-TG189
g1307.7869,Streptococcus suis BM251C,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM251C
g1307.7870,Streptococcus suis BM241a,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM241a
g1307.7871,Streptococcus suis 784_7B,,9,United Kingdom,2013,Pig,late,United Kingdom late,BAPS9,784_7B
g1307.7872,Streptococcus suis BM237a,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM237a
g1307.7873,Streptococcus suis BM178a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM178a
g1307.7874,Streptococcus suis BM231a,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM231a
g1307.7875,Streptococcus suis BM228C,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM228C
g1307.7876,Streptococcus suis BM216a,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM216a
g1307.7877,Streptococcus suis BM211a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM211a
g1307.7878,Streptococcus suis BM224C,MLST.ssuis.1,2,Vietnam,2001,Homo sapiens,early,Vietnam early,BAPS4,BM224C
g1307.7879,Streptococcus suis BM213a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM213a
g1307.7880,Streptococcus suis 270_6A,,4,United Kingdom,2013,Pig,late,United Kingdom late,BAPS9,270_6A
g1307.7881,Streptococcus suis BM203a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM203a
g1307.7882,Streptococcus suis BM209a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM209a
g1307.7883,Streptococcus suis 01ZN-TG183,MLST.ssuis.1,2,Vietnam,2010,Pig,early,Vietnam early,BAPS4,01ZN-TG183
g1307.7884,Streptococcus suis BM197a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM197a
g1307.7885,Streptococcus suis BM191a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM191a
g1307.7886,Streptococcus suis 876_3B,,29,United Kingdom,2013,Pig,late,United Kingdom late,BAPS21,876_3B
g1307.7887,Streptococcus suis 784_8B,MLST.ssuis.864,16,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,784_8B
g1307.7888,Streptococcus suis 684_5B,,28,United Kingdom,2013,Pig,late,United Kingdom late,BAPS10,684_5B
g1307.7889,Streptococcus suis BM198a,MLST.ssuis.1,2,Vietnam,2000,Homo sapiens,early,Vietnam early,BAPS4,BM198a
g1307.7890,Streptococcus suis 876_6C,,10,United Kingdom,2013,Pig,late,United Kingdom late,BAPS9,876_6C
g1307.7891,Streptococcus suis 876_2A,,9,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,876_2A
g1307.7892,Streptococcus suis 876_1A,,15,United Kingdom,2013,Pig,late,United Kingdom late,BAPS10,876_1A
g1307.7893,Streptococcus suis 876_20A,,9,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,876_20A
g1307.7894,Streptococcus suis 876_21B,,30,United Kingdom,2013,Pig,late,United Kingdom late,BAPS10,876_21B
g1307.7895,Streptococcus suis 784_10B,MLST.ssuis.949,6,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,784_10B
g1307.7896,Streptococcus suis 784_16B,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS21,784_16B
g1307.7897,Streptococcus suis 635_6B,,16,United Kingdom,2013,Pig,late,United Kingdom late,BAPS13,635_6B
g1307.7898,Streptococcus suis TMW_SS109,,,United Kingdom,2015,Pig,late,United Kingdom late,BAPS11,TMW_SS109
g1307.7899,Streptococcus suis 784_15B,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS21,784_15B
g1307.7900,Streptococcus suis 876_19A,,8,United Kingdom,2013,Pig,late,United Kingdom late,BAPS9,876_19A
g1307.7901,Streptococcus suis 876_15C,,9,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,876_15C
g1307.7902,Streptococcus suis 876_15B,,9,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,876_15B
g1307.7903,Streptococcus suis 635_11B,MLST.Streptococcus_suis.52,15,United Kingdom,2013,Pig,late,United Kingdom late,BAPS11,635_11B
g1307.7904,Streptococcus suis 784_6A,,31,United Kingdom,2013,Pig,late,United Kingdom late,BAPS14,784_6A
g1307.7905,Streptococcus suis 784_9A,MLST.ssuis.790,9,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,784_9A
g1307.7906,Streptococcus suis 784_4B,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS31,784_4B
g1307.7907,Streptococcus suis 270_24B,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS16,270_24B
g1307.7908,Streptococcus suis 784_3B,,4,United Kingdom,2013,Pig,late,United Kingdom late,BAPS30,784_3B
g1307.7909,Streptococcus suis 784_3A,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS10,784_3A
g1307.7910,Streptococcus suis 784_5C,MLST.ssuis.864,16,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,784_5C
g1307.7911,Streptococcus suis 684_6A,,15,United Kingdom,2013,Pig,late,United Kingdom late,BAPS10,684_6A
g1307.7912,Streptococcus suis 684_5A,,16,United Kingdom,2013,Pig,late,United Kingdom late,BAPS13,684_5A
g1307.7913,Streptococcus suis 684_18B,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS21,684_18B
g1307.7914,Streptococcus suis TMW_SS107,,28,United Kingdom,2015,Pig,late,United Kingdom late,BAPS12,TMW_SS107
g1307.7915,Streptococcus suis 784_2C,MLST.ssuis.949,6,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,784_2C
g1307.7916,Streptococcus suis 784_24B,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS19,784_24B
g1307.7917,Streptococcus suis 784_24A,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS22,784_24A
g1307.7918,Streptococcus suis 684_18A,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS16,684_18A
g1307.7919,Streptococcus suis 784_23C,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,784_23C
g1307.7920,Streptococcus suis 635_8C,,16,United Kingdom,2013,Pig,late,United Kingdom late,BAPS13,635_8C
g1307.7921,Streptococcus suis 784_18C,,31,United Kingdom,2013,Pig,late,United Kingdom late,BAPS9,784_18C
g1307.7922,Streptococcus suis 635_6C,MLST.Streptococcus_suis.52,15,United Kingdom,2013,Pig,late,United Kingdom late,BAPS11,635_6C
g1307.7923,Streptococcus suis 784_20A,MLST.ssuis.949,6,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,784_20A
g1307.7924,Streptococcus suis 684_16A,,9,United Kingdom,2013,Pig,late,United Kingdom late,BAPS9,684_16A
g1307.7925,Streptococcus suis 784_18B,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS31,784_18B
g1307.7926,Streptococcus suis 784_21A,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS11,784_21A
g1307.7927,Streptococcus suis 784_23B,,21,United Kingdom,2013,Pig,late,United Kingdom late,BAPS21,784_23B
g1307.7928,Streptococcus suis 635_5A,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS31,635_5A
g1307.7929,Streptococcus suis 784_17C,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS21,784_17C
g1307.7930,Streptococcus suis 635_10C,,10,United Kingdom,2013,Pig,late,United Kingdom late,BAPS9,635_10C
g1307.7931,Streptococcus suis 784_10A,,,United Kingdom,2013,Pig,late,United Kingdom late,BAPS21,784_10A
g1307.7932,Streptococcus suis 684_17C,MLST.ssuis.1409,15,United Kingdom,2013,Pig,late,United Kingdom late,BAPS10,684_17C
g1307.7933,Streptococcus suis 632_9C,,25,United Kingdom,2013,Pig,late,United Kingdom late,BAPS8,632_9C
g1307.7934,Streptococcus suis 714_7B,,,United Kingdom,2014,Pig,late,United Kingdom late,BAPS21,714_7B
g1307.7935,Streptococcus suis 714_5C,,,United Kingdom,2014,Pig,late,United Kingdom late,BAPS32,714_5C
g1307.7936,Streptococcus suis 632_9A,,16,United Kingdom,2013,Pig,late,United Kingdom late,BAPS13,632_9A
g1307.7937,Streptococcus suis 714_3A,,,United Kingdom,2014,Pig,late,United Kingdom late,BAPS21,714_3A
