genome_id,serovar,pds_cluster,collection_year,period,country,isolation_source
PDT000085069.3,Heidelberg,PDS000211943.33,2006,before_2016,USA,chicken breast
PDT000085073.3,Heidelberg,PDS000029747.12,2006,before_2016,USA,chicken breast
PDT000085074.2,"4,[5],12:i:-",PDS000253288.128,2006,before_2016,USA,chicken breast
PDT000085076.4,Berta,PDS000026549.1050,2006,before_2016,USA,ground turkey
PDT000085077.3,Montevideo,PDS000027859.12,2006,before_2016,USA,ground turkey
PDT000085083.2,Mbandaka,PDS000031380.1,2006,before_2016,USA,ground turkey
PDT000085085.3,Heidelberg,PDS000211943.33,2006,before_2016,USA,chicken breast
PDT000085086.3,Heidelberg,PDS000211943.33,2006,before_2016,USA,chicken breast
PDT000085087.3,Newport,PDS000002493.35,2003,before_2016,USA,ground turkey
PDT000085089.3,Senftenberg,PDS000002489.96,2007,before_2016,USA,ground turkey
PDT000085099.3,Saintpaul,PDS000004383.112,2008,before_2016,USA,ground turkey
PDT000085100.2,Hadar,PDS000158106.134,2008,before_2016,USA,ground turkey
PDT000085101.2,Hadar,PDS000158106.134,2008,before_2016,USA,ground turkey
PDT000085102.3,Enteritidis,PDS000030237.1756,2008,before_2016,USA,chicken breast
PDT000085103.3,Heidelberg,PDS000029725.224,2008,before_2016,USA,chicken breast
PDT000085104.4,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085105.3,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085106.2,Saintpaul,PDS000004385.49,2007,before_2016,USA,ground turkey
PDT000085158.3,Heidelberg,PDS000030642.2,2007,before_2016,USA,ground turkey
PDT000085159.3,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085160.2,Panama,PDS000030763.1,2007,before_2016,USA,ground turkey
PDT000085161.3,Montevideo,PDS000028059.139,2007,before_2016,USA,ground turkey
PDT000085162.3,Heidelberg,PDS000211943.33,2007,before_2016,USA,chicken breast
PDT000085164.3,Heidelberg,PDS000211943.33,2007,before_2016,USA,chicken breast
PDT000085165.3,Montevideo,PDS000220816.178,2007,before_2016,USA,chicken breast
PDT000085166.2,Hadar,PDS000158106.134,2007,before_2016,USA,chicken breast
PDT000085167.3,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085168.3,Heidelberg,PDS000106159.105,2007,before_2016,USA,ground turkey
PDT000085169.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085170.3,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085171.3,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085172.3,Typhimurium,PDS000026746.239,2007,before_2016,USA,chicken breast
PDT000085173.2,Hadar,PDS000114063.1,2007,before_2016,USA,ground turkey
PDT000085174.2,Hadar,PDS000114063.1,2007,before_2016,USA,ground turkey
PDT000085175.3,Typhimurium,PDS000050108.12,2007,before_2016,USA,chicken breast
PDT000085176.2,Hadar,PDS000114063.1,2007,before_2016,USA,ground turkey
PDT000085177.3,Enteritidis,PDS000032668.1889,2007,before_2016,USA,chicken breast
PDT000085178.3,Heidelberg,PDS000106159.105,2007,before_2016,USA,ground turkey
PDT000085179.3,Heidelberg,PDS000211943.33,2007,before_2016,USA,chicken breast
PDT000085180.2,Hadar,PDS000114063.1,2007,before_2016,USA,ground turkey
PDT000085181.2,Saintpaul,PDS000004385.49,2007,before_2016,USA,ground turkey
PDT000085182.4,"4,12:i:-",PDS000253288.128,2006,before_2016,USA,ground turkey
PDT000085183.5,Typhimurium,PDS000272319.1,2006,before_2016,USA,chicken breast
PDT000085196.2,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085197.3,Kentucky,PDS000005452.4,2007,before_2016,USA,chicken breast
PDT000085199.3,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085201.3,Heidelberg,PDS000106159.105,2007,before_2016,USA,ground turkey
PDT000085203.3,Heidelberg,PDS000106159.105,2007,before_2016,USA,ground turkey
PDT000085205.5,Heidelberg,PDS000211943.33,2007,before_2016,USA,ground turkey
PDT000085206.3,Heidelberg,PDS000211943.33,2007,before_2016,USA,chicken breast
PDT000085207.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085208.3,Kentucky,PDS000047153.1,2007,before_2016,USA,chicken breast
PDT000085209.3,Agona,PDS000028948.87,2007,before_2016,USA,ground turkey
PDT000085210.3,Kentucky,PDS000047153.1,2007,before_2016,USA,chicken breast
PDT000085211.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085229.2,Saintpaul,PDS000004385.49,2007,before_2016,USA,ground turkey
PDT000085230.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085231.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085232.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085233.2,Saintpaul,PDS000004385.49,2007,before_2016,USA,ground turkey
PDT000085234.2,"4,[5],12:i:-",PDS000253288.128,2007,before_2016,USA,chicken breast
PDT000085236.3,Heidelberg,PDS000029725.224,2007,before_2016,USA,chicken breast
PDT000085237.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085238.3,Enteritidis,PDS000030237.1756,2007,before_2016,USA,chicken breast
PDT000085240.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085243.3,Heidelberg,PDS000211943.33,2007,before_2016,USA,chicken breast
PDT000085245.2,Enteritidis,PDS000030237.1756,2007,before_2016,USA,chicken breast
PDT000085246.2,Hadar,PDS000158107.507,2007,before_2016,USA,ground turkey
PDT000085247.2,Hadar,PDS000158107.507,2007,before_2016,USA,ground turkey
PDT000085249.2,Hadar,PDS000158106.134,2007,before_2016,USA,ground turkey
PDT000085252.2,Saintpaul,PDS000004385.49,2007,before_2016,USA,ground turkey
PDT000085253.2,Saintpaul,PDS000004385.49,2007,before_2016,USA,ground turkey
PDT000085256.2,Hadar,PDS000158107.507,2007,before_2016,USA,ground turkey
PDT000085257.5,Montevideo,PDS000027237.426,2007,before_2016,USA,chicken breast
PDT000085258.3,Kentucky,PDS000004096.15,2007,before_2016,USA,chicken breast
PDT000085259.3,Kentucky,PDS000004096.15,2007,before_2016,USA,chicken breast
PDT000085260.3,Kentucky,PDS000260145.21,2007,before_2016,USA,chicken breast
PDT000085261.3,Kentucky,PDS000260145.21,2007,before_2016,USA,ground turkey
PDT000085262.3,Heidelberg,PDS000106159.105,2007,before_2016,USA,ground turkey
PDT000085263.3,Heidelberg,PDS000106159.105,2007,before_2016,USA,ground turkey
PDT000085264.5,Typhimurium,PDS000272319.1,2007,before_2016,USA,chicken breast
PDT000085266.3,Agona,PDS000028948.87,2007,before_2016,USA,ground turkey
PDT000085267.3,Saintpaul,PDS000004383.112,2007,before_2016,USA,ground turkey
PDT000085268.2,Saintpaul,PDS000004383.112,2007,before_2016,USA,chicken breast
PDT000085278.3,Kentucky,PDS000032330.3,2003,before_2016,USA,chicken breast
PDT000085279.3,Heidelberg,PDS000106159.105,2003,before_2016,USA,ground turkey
PDT000085280.3,Heidelberg,PDS000106159.105,2003,before_2016,USA,ground turkey
PDT000085284.2,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000085495.2,Hadar,PDS000158106.134,2008,before_2016,USA,ground turkey
PDT000085499.3,Heidelberg,PDS000106159.105,2008,before_2016,USA,ground turkey
PDT000085522.2,"4,12:d:-",PDS000001682.46,2008,before_2016,USA,ground turkey
PDT000085523.2,Hadar,PDS000158106.134,2008,before_2016,USA,ground turkey
PDT000085524.3,Kentucky,PDS000004096.15,2008,before_2016,USA,chicken breast
PDT000085525.3,Schwarzengrund,PDS000004036.160,2008,before_2016,USA,ground turkey
PDT000085526.2,Hadar,PDS000158106.134,2008,before_2016,USA,ground turkey
PDT000085527.2,Hadar,PDS000158106.134,2008,before_2016,USA,ground turkey
PDT000085528.3,Senftenberg,PDS000032351.3,2008,before_2016,USA,ground turkey
PDT000085529.2,Hadar,PDS000158107.507,2008,before_2016,USA,ground turkey
PDT000085532.3,Derby,PDS000030727.2,2008,before_2016,USA,ground turkey
PDT000085533.2,Hadar,PDS000158106.134,2008,before_2016,USA,ground turkey
PDT000085534.2,Anatum,PDS000028987.15,2008,before_2016,USA,ground turkey
PDT000085535.3,Kentucky,PDS000217831.57,2008,before_2016,USA,chicken breast
PDT000085536.3,Agona,PDS000028948.87,2008,before_2016,USA,ground turkey
PDT000085830.2,"4,12:i:-",PDS000026788.13,2014,before_2016,USA,chicken breast
PDT000085831.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Wings
PDT000085834.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000085835.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,Chicken Thighs
PDT000085836.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085837.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085840.2,Schwarzengrund,PDS000002218.1068,2014,before_2016,USA,chicken breast
PDT000085841.2,Albany,PDS000032516.187,2014,before_2016,USA,ground turkey
PDT000085844.2,Senftenberg,PDS000032047.11,2014,before_2016,USA,chicken breast
PDT000085845.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085846.2,Berta,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085847.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Thighs
PDT000085848.2,Heidelberg,PDS000106159.105,2014,before_2016,USA,ground turkey
PDT000085850.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085851.2,Heidelberg,PDS000029725.224,2014,before_2016,USA,Chicken Legs
PDT000085852.3,Mbandaka,PDS000233288.49,2014,before_2016,USA,Chicken Wings
PDT000085853.3,Anatum,PDS000028987.15,2014,before_2016,USA,ground turkey
PDT000085854.3,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085855.5,Saintpaul,PDS000004383.112,2014,before_2016,USA,ground turkey
PDT000085856.3,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085857.3,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085858.3,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085859.3,Berta,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085860.3,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085861.3,Typhimurium var. 5-,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085862.3,Typhimurium var. 5-,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000085863.3,Heidelberg,PDS000078903.2,2014,before_2016,USA,Chicken Legs
PDT000085864.3,Saintpaul,PDS000004385.49,2014,before_2016,USA,ground turkey
PDT000085865.3,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085866.3,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085867.3,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085868.3,Kentucky,PDS000217831.57,2014,before_2016,USA,chicken breast
PDT000085869.3,Typhimurium,PDS000004611.37,2014,before_2016,USA,chicken breast
PDT000085870.3,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085871.3,Kentucky,PDS000031355.1,2014,before_2016,USA,chicken breast
PDT000085872.3,Berta,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085873.3,Hadar,PDS000158106.134,2014,before_2016,USA,ground turkey
PDT000085874.3,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085875.3,Saintpaul,PDS000004385.49,2014,before_2016,USA,ground turkey
PDT000085876.3,Saintpaul,PDS000004385.49,2014,before_2016,USA,ground turkey
PDT000085878.3,Kentucky,PDS000217831.57,2014,before_2016,USA,chicken breast
PDT000085879.3,Typhimurium var. 5-,PDS000272308.1,2014,before_2016,USA,Chicken Wings
PDT000085880.3,Enteritidis,PDS000083226.1311,2014,before_2016,USA,Chicken Legs
PDT000085881.3,Enteritidis,PDS000032668.1889,2014,before_2016,USA,chicken breast
PDT000085882.3,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085883.3,Saintpaul,PDS000004385.49,2014,before_2016,USA,ground turkey
PDT000085884.3,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085885.3,Heidelberg,PDS000106159.105,2014,before_2016,USA,chicken breast
PDT000085886.7,Heidelberg,PDS000028162.7,2014,before_2016,USA,ground turkey
PDT000085887.3,Saintpaul,PDS000029303.72,2014,before_2016,USA,ground turkey
PDT000085888.3,Saintpaul,PDS000004385.49,2014,before_2016,USA,ground turkey
PDT000085889.3,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000085890.3,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085891.3,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Legs
PDT000085892.3,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085895.3,Schwarzengrund,PDS000002218.1068,2014,before_2016,USA,chicken breast
PDT000085896.3,Schwarzengrund,PDS000002218.1068,2014,before_2016,USA,chicken breast
PDT000085897.3,Schwarzengrund,PDS000032669.447,2014,before_2016,USA,Chicken Wings
PDT000085899.4,Heidelberg,PDS000106159.105,2014,before_2016,USA,ground turkey
PDT000085900.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085901.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085902.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,Chicken Wings
PDT000085903.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085904.2,Berta,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085905.2,Senftenberg,PDS000158165.18,2014,before_2016,USA,ground turkey
PDT000085906.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000085907.2,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085908.4,Heidelberg,PDS000106159.105,2014,before_2016,USA,ground turkey
PDT000085909.2,Hadar,PDS000158106.134,2014,before_2016,USA,ground turkey
PDT000085910.2,Typhimurium var. 5-,PDS000026720.161,2014,before_2016,USA,chicken breast
PDT000085911.2,Senftenberg,PDS000158165.18,2014,before_2016,USA,ground turkey
PDT000085912.3,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Wings
PDT000085913.2,Muenchen,PDS000198470.177,2014,before_2016,USA,ground turkey
PDT000085914.2,Infantis,PDS000003971.88,2014,before_2016,USA,ground turkey
PDT000085915.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085916.2,Braenderup,PDS000032735.1192,2014,before_2016,USA,chicken breast
PDT000085918.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085919.4,Albany,PDS000032516.187,2014,before_2016,USA,ground turkey
PDT000085920.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085921.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085922.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085925.2,"4,[5],12:i:-",PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085926.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085927.2,Enteritidis,PDS000032668.1889,2014,before_2016,USA,chicken breast
PDT000085928.2,"4,[5],12:i:-",PDS000253288.128,2014,before_2016,USA,chicken breast
PDT000085929.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085930.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085931.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000085932.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000085933.2,Schwarzengrund,PDS000030693.22,2014,before_2016,USA,ground turkey
PDT000085934.2,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,Chicken Thighs
PDT000085935.2,Blockley,PDS000157219.165,2014,before_2016,USA,chicken breast
PDT000085936.2,Kentucky,PDS000217831.57,2014,before_2016,USA,chicken breast
PDT000085937.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085938.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000085939.2,"4,12:d:-",PDS000001682.46,2014,before_2016,USA,ground turkey
PDT000085940.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085941.2,Muenchen,PDS000198470.177,2014,before_2016,USA,ground turkey
PDT000085942.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085943.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085944.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085945.2,Berta,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085947.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085948.2,Enteritidis,PDS000032669.447,2014,before_2016,USA,chicken breast
PDT000085949.2,Anatum,PDS000028226.224,2014,before_2016,USA,ground turkey
PDT000085950.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085951.2,Saintpaul,PDS000004385.49,2014,before_2016,USA,ground turkey
PDT000085953.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085954.2,Infantis,PDS000003971.88,2014,before_2016,USA,ground turkey
PDT000085955.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085957.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000085958.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085959.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000085960.2,Kentucky,PDS000029654.4,2014,before_2016,USA,chicken breast
PDT000085961.2,Typhimurium var. 5-,PDS000180629.13,2014,before_2016,USA,chicken breast
PDT000085962.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000085964.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085965.2,Schwarzengrund,PDS000004036.160,2014,before_2016,USA,ground turkey
PDT000085966.2,"4,12:d:-",PDS000001682.46,2014,before_2016,USA,ground turkey
PDT000085967.2,Montevideo,PDS000027859.12,2014,before_2016,USA,ground turkey
PDT000085969.2,Kentucky,PDS000217831.57,2014,before_2016,USA,chicken breast
PDT000085970.2,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085971.2,Senftenberg,PDS000158165.18,2014,before_2016,USA,ground turkey
PDT000085972.2,Infantis,PDS000027077.594,2014,before_2016,USA,chicken breast
PDT000085973.2,Enteritidis,PDS000032668.1889,2014,before_2016,USA,chicken breast
PDT000085974.2,Berta,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085975.2,Berta,PDS000026549.1050,2014,before_2016,USA,ground turkey
PDT000085976.2,Infantis,PDS000027077.594,2014,before_2016,USA,chicken breast
PDT000085977.2,Kentucky,PDS000004848.8,2014,before_2016,USA,chicken breast
PDT000085978.2,Kentucky,PDS000260145.21,2014,before_2016,USA,Chicken Wings
PDT000085979.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085980.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000085981.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085982.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,ground turkey
PDT000085983.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085984.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085985.2,Hadar,PDS000158106.134,2014,before_2016,USA,ground turkey
PDT000085987.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085988.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000085990.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000085991.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000085992.2,"4,12:i:-",PDS000253288.128,2014,before_2016,USA,chicken breast
PDT000085993.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000085994.2,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000085995.2,Thompson,PDS000032705.1749,2014,before_2016,USA,chicken breast
PDT000085996.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000085997.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000085999.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000086000.2,Thompson,PDS000032705.1749,2014,before_2016,USA,chicken breast
PDT000086001.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000086002.2,Enteritidis,PDS000030237.1756,2014,before_2016,USA,chicken breast
PDT000086003.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000086004.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086005.2,Albany,PDS000032516.187,2014,before_2016,USA,ground turkey
PDT000086006.2,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,chicken breast
PDT000086007.2,Hadar,PDS000158106.134,2014,before_2016,USA,ground turkey
PDT000086008.2,Saintpaul,PDS000004385.49,2014,before_2016,USA,ground turkey
PDT000086010.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086011.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000086012.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Wings
PDT000086013.2,Typhimurium var. 5-,PDS000081815.149,2014,before_2016,USA,Chicken Wings
PDT000086014.2,Saintpaul,PDS000029303.72,2014,before_2016,USA,ground turkey
PDT000086017.4,Albany,PDS000032516.187,2014,before_2016,USA,ground turkey
PDT000086018.5,Heidelberg,PDS000028162.7,2014,before_2016,USA,ground turkey
PDT000086020.2,Enteritidis,PDS000032668.1889,2014,before_2016,USA,Chicken Legs
PDT000086021.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000086022.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086023.2,Brandenburg,PDS000026782.249,2014,before_2016,USA,ground turkey
PDT000086024.3,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086026.3,Enteritidis,PDS000032668.1889,2014,before_2016,USA,Chicken Thighs
PDT000086027.3,Enteritidis,PDS000032668.1889,2014,before_2016,USA,chicken breast
PDT000086028.3,Schwarzengrund,PDS000004036.160,2014,before_2016,USA,ground turkey
PDT000086029.3,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Wings
PDT000086030.3,Enteritidis,PDS000032668.1889,2014,before_2016,USA,chicken breast
PDT000086031.3,Kentucky,PDS000260145.21,2014,before_2016,USA,Chicken Wings
PDT000086033.2,Infantis,PDS000027076.971,2014,before_2016,USA,Chicken Wings
PDT000086036.2,Mbandaka,PDS000233286.165,2014,before_2016,USA,chicken breast
PDT000086037.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000086038.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000086039.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000086040.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000086041.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000086042.2,Mbandaka,PDS000233288.49,2014,before_2016,USA,chicken breast
PDT000086045.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000086046.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000086047.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000086048.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000086050.2,Enteritidis,PDS000032668.1889,2014,before_2016,USA,chicken breast
PDT000086051.2,Kentucky,PDS000029426.101,2014,before_2016,USA,chicken breast
PDT000086052.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086053.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086054.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000086055.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000086056.2,Enteritidis,PDS000032668.1889,2014,before_2016,USA,chicken breast
PDT000086057.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000086058.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000086059.2,Typhimurium var. 5-,PDS000029726.9,2014,before_2016,USA,ground turkey
PDT000086060.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000086063.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000086064.2,Typhimurium,PDS000029303.72,2014,before_2016,USA,ground turkey
PDT000086065.2,Kentucky,PDS000260145.21,2014,before_2016,USA,chicken breast
PDT000086066.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000086067.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000086068.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000086069.2,Typhimurium var. 5-,PDS000180814.35,2014,before_2016,USA,Chicken Wings
PDT000086070.2,Muenchen,PDS000198470.177,2014,before_2016,USA,ground turkey
PDT000086071.2,Kentucky,PDS000260145.21,2014,before_2016,USA,Chicken Wings
PDT000086072.2,Muenchen,PDS000198470.177,2014,before_2016,USA,ground turkey
PDT000086074.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000086076.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Legs
PDT000086077.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000086078.2,Muenchen,PDS000198470.177,2014,before_2016,USA,ground turkey
PDT000086079.2,Enteritidis,PDS000032668.1889,2014,before_2016,USA,Chicken Legs
PDT000086080.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,Chicken Thighs
PDT000086081.2,Hadar,PDS000158107.507,2014,before_2016,USA,ground turkey
PDT000086082.2,Schwarzengrund,PDS000002218.1068,2014,before_2016,USA,chicken breast
PDT000086083.2,Brandenburg,PDS000026782.249,2014,before_2016,USA,ground turkey
PDT000086084.2,Typhimurium var. 5-,PDS000272319.1,2014,before_2016,USA,chicken breast
PDT000086085.2,Albany,PDS000032516.187,2014,before_2016,USA,ground turkey
PDT000086086.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086087.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
PDT000086088.2,Saintpaul,PDS000004383.112,2014,before_2016,USA,ground turkey
PDT000086093.2,Albany,PDS000032516.187,2014,before_2016,USA,ground turkey
PDT000086095.2,Heidelberg,PDS000211943.33,2014,before_2016,USA,chicken breast
PDT000086096.2,Enteritidis,PDS000032668.1889,2014,before_2016,USA,Chicken Legs
PDT000086097.2,Kentucky,PDS000272606.2,2014,before_2016,USA,chicken breast
PDT000086098.2,Reading,PDS000001887.891,2014,before_2016,USA,ground turkey
